,num bidders,avg rev,avg num med,avg_num_med
0,2.0,2.8284271247461903,,2.0
1,3.0,5.022947341949744,,2.9
2,4.0,7.1,,3.55
3,5.0,8.83246851112417,,3.95
4,6.0,9.553009996854394,,3.9
5,7.0,12.302743596450346,,4.75
6,8.0,14.70782104868019,,5.25
7,9.0,15.3,,5.45
8,10.0,16.285729949867154,,5.5
9,11.0,18.2414363469547,,6.1
10,12.0,17.666918237202548,,5.8
11,13.0,19.65025445127874,,6.1
12,14.0,20.766198496595376,,6.9
13,15.0,22.46330340800302,,7.3
14,16.0,22.6,,6.7
15,17.0,22.67708094089713,,7.35
16,18.0,24.81944801964782,,7.85
17,19.0,23.97394418947371,,7.1
18,20.0,26.16199533674754,,7.8
19,21.0,26.808067815491665,,7.95
20,22.0,27.20441140697589,,8.5
21,23.0,28.53519756371068,,9.15
22,24.0,28.414081016284864,,8.25
23,25.0,28.75,,7.7
24,26.0,29.319362203158512,,7.75
25,27.0,29.618068809427804,,8.05
26,28.0,31.21986547056217,,9.3
27,29.0,31.77247236209357,,8.3
28,30.0,31.767908335299634,,7.9
